sex,age,class,fare,survived
male,22,3rd,7.25,no
female,38,1st,71.2833,yes
female,26,3rd,7.925,yes
female,35,1st,53.1,yes
male,35,3rd,8.05,no
male,27,3rd,8.4583,no
male,54,1st,51.8625,no
male,2,3rd,21.075,no
female,27,3rd,11.1333,yes
female,14,2nd,30.0708,yes
female,4,3rd,16.7,yes
female,58,1st,26.55,yes
male,20,3rd,8.05,no
male,39,3rd,31.275,no
female,14,3rd,7.8542,no
female,55,2nd,16,yes
male,2,3rd,29.125,no
male,23,2nd,13,yes
female,31,3rd,18,no
female,22,3rd,7.225,yes
male,35,2nd,26,no
male,34,2nd,13,yes
female,15,3rd,8.0292,yes
male,28,1st,35.5,yes
female,8,3rd,21.075,no
female,38,3rd,31.3875,yes
male,26,3rd,7.225,no
male,19,1st,263,no
female,24,3rd,7.8792,yes
male,23,3rd,7.8958,no
male,40,1st,27.7208,no
female,48,1st,146.5208,yes
female,18,3rd,7.75,yes
male,66,2nd,10.5,no
male,28,1st,82.1708,no
male,42,1st,52,no
male,18,3rd,7.2292,yes
male,21,3rd,8.05,no
female,18,3rd,18,no
female,14,3rd,11.2417,yes
female,40,3rd,9.475,no
female,27,2nd,21,no
female,3,2nd,41.5792,yes
female,19,3rd,7.8792,yes
male,30,3rd,8.05,no
male,20,3rd,15.5,no
female,27,3rd,7.75,yes
male,16,3rd,21.6792,no
female,18,3rd,17.8,no
male,7,3rd,39.6875,no
male,21,3rd,7.8,no
female,49,1st,76.7292,yes
female,29,2nd,26,yes
male,65,1st,61.9792,no
male,46,1st,35.5,yes
female,21,2nd,10.5,yes
male,28.5,3rd,7.2292,no
female,5,2nd,27.75,yes
male,11,3rd,46.9,no
male,22,3rd,7.2292,no
female,38,1st,80,yes
male,45,1st,83.475,no
male,4,3rd,27.9,no
male,64,1st,27.7208,no
male,7,3rd,15.2458,yes
female,29,2nd,10.5,yes
male,19,3rd,8.1583,no
female,17,3rd,7.925,yes
male,26,3rd,8.6625,no
male,32,2nd,10.5,no
female,16,3rd,46.9,no
male,21,2nd,73.5,no
male,26,3rd,14.4542,no
male,32,3rd,56.4958,yes
male,25,3rd,7.65,no
male,23,3rd,7.8958,no
male,28,3rd,8.05,no
male,0.83,2nd,29,yes
female,30,3rd,12.475,yes
male,22,3rd,9,no
male,29,3rd,9.5,yes
female,31,3rd,7.7875,yes
male,28,1st,47.1,no
female,17,2nd,10.5,yes
female,33,3rd,15.85,yes
male,16,3rd,34.375,no
male,20,3rd,8.05,no
female,23,1st,263,yes
male,24,3rd,8.05,no
male,29,3rd,8.05,no
male,20,3rd,7.8542,no
male,46,1st,61.175,no
male,26,3rd,20.575,no
male,59,3rd,7.25,no
male,22,3rd,8.05,no
male,71,1st,34.6542,no
male,23,1st,63.3583,yes
female,34,2nd,23,yes
male,34,2nd,26,no
female,28,3rd,7.8958,no
male,29,3rd,7.8958,no
male,21,1st,77.2875,no
male,33,3rd,8.6542,no
male,37,3rd,7.925,no
male,28,3rd,7.8958,no
female,21,3rd,7.65,yes
male,29,3rd,7.775,yes
male,38,3rd,7.8958,no
female,28,3rd,24.15,yes
male,47,1st,52,no
female,14.5,3rd,14.4542,no
male,22,3rd,8.05,no
female,20,3rd,9.825,no
female,17,3rd,14.4583,no
male,21,3rd,7.925,no
male,70.5,3rd,7.75,no
male,29,2nd,21,no
male,24,1st,247.5208,no
female,2,3rd,31.275,no
male,21,2nd,73.5,no
male,19,3rd,8.05,no
male,32.5,2nd,30.0708,no
female,32.5,2nd,13,yes
male,54,1st,77.2875,no
male,12,3rd,11.2417,yes
male,19,3rd,7.75,no
male,24,3rd,7.1417,yes
female,2,3rd,22.3583,yes
male,45,3rd,6.975,no
male,33,3rd,7.8958,no
male,20,3rd,7.05,no
female,47,3rd,14.5,no
female,29,2nd,26,yes
male,25,2nd,13,no
male,23,2nd,15.0458,no
female,19,1st,26.2833,yes
male,37,1st,53.1,no
male,16,3rd,9.2167,no
male,24,1st,79.2,no
female,40,3rd,15.2458,no
female,22,3rd,7.75,yes
female,24,3rd,15.85,yes
male,19,3rd,6.75,no
male,18,2nd,11.5,no
male,19,2nd,36.75,no
male,27,3rd,7.7958,yes
female,9,3rd,34.375,no
male,36.5,2nd,26,no
male,42,2nd,13,no
male,51,2nd,12.525,no
female,22,1st,66.6,yes
male,55.5,3rd,8.05,no
male,40.5,3rd,14.5,no
male,27,3rd,7.3125,no
male,51,1st,61.3792,no
female,16,3rd,7.7333,yes
male,30,3rd,8.05,no
male,37,3rd,8.6625,no
male,5,3rd,69.55,no
male,44,3rd,16.1,no
female,40,2nd,15.75,yes
male,26,3rd,7.775,no
male,17,3rd,8.6625,no
male,1,3rd,39.6875,no
male,9,3rd,20.525,yes
female,48,1st,55,yes
female,45,3rd,27.9,no
male,60,1st,25.925,no
male,28,3rd,56.4958,no
male,61,1st,33.5,no
male,4,3rd,29.125,no
female,1,3rd,11.1333,yes
male,21,3rd,7.925,no
male,56,1st,30.6958,no
male,18,3rd,7.8542,no
male,5,3rd,25.4667,no
female,50,1st,28.7125,no
male,30,2nd,13,no
male,36,3rd,0,no
female,8,3rd,69.55,no
male,39,2nd,15.05,no
male,9,3rd,31.3875,no
male,1,2nd,39,yes
female,4,3rd,22.025,yes
male,39,1st,50,no
female,26,3rd,15.5,yes
male,45,1st,26.55,yes
male,40,3rd,15.5,no
male,36,3rd,7.8958,no
female,32,2nd,13,yes
male,19,2nd,13,no
female,19,3rd,7.8542,yes
male,3,2nd,26,yes
female,44,1st,27.7208,yes
female,58,1st,146.5208,yes
male,28,3rd,7.75,no
male,42,3rd,8.4042,no
female,21,3rd,7.75,yes
female,24,2nd,13,no
male,28,3rd,9.5,no
male,17,3rd,69.55,no
male,34,3rd,6.4958,no
male,45.5,3rd,7.225,no
male,18,3rd,8.05,yes
female,2,3rd,10.4625,no
male,32,3rd,15.85,no
male,26,3rd,18.7875,yes
female,16,3rd,7.75,yes
male,40,1st,31,yes
male,24,3rd,7.05,no
female,35,2nd,21,yes
male,22,3rd,7.25,no
male,30,2nd,13,no
male,22,3rd,7.75,no
female,31,1st,113.275,yes
female,27,3rd,7.925,yes
male,42,2nd,27,no
female,32,1st,76.2917,yes
male,30,2nd,10.5,no
male,16,3rd,8.05,yes
male,27,2nd,13,no
male,51,3rd,8.05,no
male,22,3rd,7.8958,no
male,38,1st,90,yes
male,22,3rd,9.35,no
male,19,2nd,10.5,yes
male,20.5,3rd,7.25,no
male,18,2nd,13,no
female,12,3rd,25.4667,no
female,35,1st,83.475,yes
male,29,3rd,7.775,no
male,59,2nd,13.5,no
female,5,3rd,31.3875,yes
male,24,2nd,10.5,no
female,21,3rd,7.55,no
male,44,2nd,26,no
female,8,2nd,26.25,yes
male,19,2nd,10.5,no
male,33,2nd,12.275,no
female,19,3rd,14.4542,no
female,18,3rd,15.5,yes
male,29,2nd,10.5,no
male,22,3rd,7.125,no
male,30,3rd,7.225,no
male,44,1st,90,no
female,25,3rd,7.775,no
female,24,2nd,14.5,yes
male,37,1st,52.5542,yes
male,54,2nd,26,no
male,18,3rd,7.25,no
female,29,3rd,10.4625,no
male,62,1st,26.55,no
male,30,3rd,16.1,no
female,41,3rd,20.2125,no
female,29,3rd,15.2458,yes
female,38,1st,79.2,yes
female,30,1st,86.5,yes
female,35,1st,512.3292,yes
female,50,2nd,26,yes
male,3,3rd,31.3875,yes
male,52,1st,79.65,no
male,40,1st,0,no
female,21,3rd,7.75,no
male,36,2nd,10.5,no
male,16,3rd,39.6875,no
male,25,3rd,7.775,yes
female,58,1st,153.4625,yes
female,35,1st,135.6333,yes
male,28,1st,31,no
male,25,3rd,0,yes
female,41,2nd,19.5,yes
male,37,1st,29.7,no
female,33,3rd,7.75,yes
female,63,1st,77.9583,yes
female,45,3rd,7.75,no
male,21,2nd,0,no
male,7,3rd,29.125,no
female,35,3rd,20.25,yes
male,65,3rd,7.75,no
male,28,3rd,7.8542,no
male,16,3rd,9.5,no
male,19,3rd,8.05,yes
male,57,1st,26,no
male,33,3rd,8.6625,no
male,30,3rd,9.5,yes
male,22,3rd,7.8958,no
male,42,2nd,13,yes
female,22,3rd,7.75,yes
female,26,1st,78.85,yes
female,19,1st,91.0792,yes
male,36,2nd,12.875,no
female,24,3rd,8.85,no
male,24,3rd,7.8958,no
male,30,1st,27.7208,no
male,23.5,3rd,7.2292,no
female,2,1st,151.55,no
male,47,1st,30.5,yes
female,50,1st,247.5208,yes
female,20,3rd,7.75,yes
male,24,3rd,23.25,yes
male,19,3rd,0,no
female,46,2nd,12.35,yes
male,28,3rd,8.05,no
male,0.92,1st,151.55,yes
female,42,1st,110.8833,yes
female,17,1st,108.9,yes
male,30,2nd,24,no
female,30,1st,56.9292,yes
female,24,1st,83.1583,yes
female,18,1st,262.375,yes
female,26,2nd,26,no
male,28,3rd,7.8958,no
male,43,2nd,26.25,no
female,26,3rd,7.8542,yes
female,24,2nd,26,yes
male,54,2nd,14,no
female,31,1st,164.8667,yes
female,40,1st,134.5,yes
male,22,3rd,7.25,no
male,27,3rd,7.8958,no
female,30,2nd,12.35,yes
female,22,2nd,29,yes
male,20,3rd,69.55,no
female,36,1st,135.6333,yes
male,61,3rd,6.2375,no
female,36,2nd,13,yes
female,31,3rd,20.525,yes
female,16,1st,57.9792,yes
female,28,3rd,23.25,yes
male,45.5,1st,28.5,no
male,38,1st,153.4625,no
male,16,3rd,18,no
female,42,1st,133.65,yes
male,30,3rd,7.8958,no
male,29,1st,66.6,no
female,41,1st,134.5,yes
male,45,3rd,8.05,yes
male,45,1st,35.5,no
male,2,2nd,26,yes
female,24,1st,263,yes
male,28,2nd,13,no
male,25,2nd,13,no
male,36,2nd,13,no
female,24,2nd,13,yes
female,40,2nd,13,yes
female,34,3rd,16.1,yes
male,3,3rd,15.9,yes
male,42,3rd,8.6625,no
male,23,3rd,9.225,no
male,43,1st,35,no
male,15,3rd,7.2292,no
male,25,3rd,17.8,no
male,23,3rd,7.225,no
male,28,3rd,9.5,no
female,22,1st,55,yes
female,38,2nd,13,no
female,22,3rd,7.8792,yes
female,23,3rd,7.8792,yes
male,40,3rd,27.9,no
male,29,2nd,27.7208,no
female,45,3rd,14.4542,no
male,35,3rd,7.05,no
male,27,3rd,15.5,no
male,30,3rd,7.25,no
female,60,1st,75.25,yes
female,35,3rd,7.2292,yes
female,22,3rd,7.75,yes
female,24,1st,69.3,yes
male,25,1st,55.4417,yes
male,18,3rd,6.4958,no
male,19,3rd,8.05,no
male,22,1st,135.6333,no
female,3,3rd,21.075,no
female,25,1st,82.1708,yes
female,22,3rd,7.25,yes
male,27,1st,211.5,no
male,20,3rd,4.0125,no
male,19,3rd,7.775,no
female,42,1st,227.525,yes
female,1,3rd,15.7417,yes
male,32,3rd,7.925,no
female,35,1st,52,yes
male,27,3rd,7.8958,no
male,18,2nd,73.5,no
male,1,3rd,46.9,no
female,36,2nd,13,yes
male,19,3rd,7.7292,no
female,17,2nd,12,yes
male,36,1st,120,yes
male,21,3rd,7.7958,yes
male,28,3rd,7.925,no
female,23,1st,113.275,yes
female,24,3rd,16.7,yes
male,22,3rd,7.7958,no
female,31,3rd,7.8542,no
male,46,2nd,26,no
male,23,2nd,10.5,no
female,28,2nd,12.65,yes
male,39,3rd,7.925,yes
male,26,3rd,8.05,no
female,21,3rd,9.825,no
male,28,3rd,15.85,no
female,20,3rd,8.6625,no
male,34,2nd,21,no
male,51,3rd,7.75,no
male,3,2nd,18.75,yes
male,21,3rd,7.775,no
female,3,3rd,25.4667,no
male,42,3rd,7.8958,no
male,27,3rd,6.8583,no
female,33,1st,90,yes
male,22,2nd,0,no
male,44,3rd,7.925,yes
female,32,3rd,8.05,no
female,34,2nd,32.5,yes
female,18,2nd,13,yes
male,30,2nd,13,no
female,10,3rd,24.15,no
male,21,3rd,7.7333,no
male,29,3rd,7.875,no
female,28,3rd,14.4,no
male,18,3rd,20.2125,no
male,54,3rd,7.25,no
female,28,2nd,26,yes
female,19,2nd,26,yes
male,28,3rd,7.75,no
male,32,3rd,8.05,yes
male,28,1st,26.55,yes
female,33,3rd,16.1,yes
female,42,2nd,26,yes
male,17,3rd,7.125,no
male,50,1st,55.9,no
female,14,1st,120,yes
female,21,3rd,34.375,no
female,24,2nd,18.75,yes
male,64,1st,263,no
male,31,2nd,10.5,no
female,45,2nd,26.25,yes
male,20,3rd,9.5,no
male,25,3rd,7.775,no
female,28,2nd,13,yes
male,29,3rd,8.1125,yes
male,4,1st,81.8583,yes
female,13,2nd,19.5,yes
male,34,1st,26.55,yes
female,5,3rd,19.2583,yes
male,52,1st,30.5,yes
male,36,2nd,27.75,no
male,28,3rd,19.9667,no
male,30,1st,27.75,no
male,49,1st,89.1042,yes
male,24,3rd,8.05,no
male,29,3rd,7.8958,yes
male,65,1st,26.55,no
female,41,1st,51.8625,yes
female,50,2nd,10.5,yes
male,17,3rd,7.75,no
male,48,1st,26.55,yes
male,34,3rd,8.05,no
male,47,1st,38.5,no
male,48,2nd,13,no
male,34,3rd,8.05,no
male,38,3rd,7.05,no
male,21,2nd,0,no
male,56,1st,26.55,no
male,22,3rd,7.725,no
female,0.75,3rd,19.2583,yes
male,39,3rd,7.25,no
male,38,3rd,8.6625,no
female,33,2nd,27.75,yes
female,23,2nd,13.7917,yes
female,22,3rd,9.8375,no
male,40,1st,52,no
male,34,2nd,21,no
male,29,3rd,7.0458,no
male,22,3rd,7.5208,no
female,2,3rd,12.2875,yes
male,9,3rd,46.9,no
male,37,2nd,0,no
male,50,3rd,8.05,no
female,63,3rd,9.5875,yes
male,25,1st,91.0792,yes
female,8,3rd,25.4667,no
female,35,1st,90,yes
male,58,1st,29.7,no
male,30,3rd,8.05,no
male,9,3rd,15.9,yes
male,19,3rd,19.9667,no
male,21,3rd,7.25,no
male,55,1st,30.5,no
male,71,1st,49.5042,no
male,21,3rd,8.05,no
male,26,3rd,14.4583,no
female,54,1st,78.2667,yes
male,55,3rd,15.1,no
female,25,1st,151.55,no
male,24,3rd,7.7958,no
male,17,3rd,8.6625,no
female,21,3rd,7.75,no
female,21,3rd,7.6292,no
female,37,3rd,9.5875,no
female,16,1st,86.5,yes
male,18,1st,108.9,no
female,33,2nd,26,yes
male,37,1st,26.55,yes
male,28,3rd,22.525,no
male,26,3rd,56.4958,yes
male,29,3rd,7.75,yes
male,66,3rd,8.05,no
male,36,1st,26.2875,yes
female,54,1st,59.4,yes
male,24,3rd,7.4958,no
male,47,1st,34.0208,no
female,34,2nd,10.5,yes
male,30,3rd,24.15,no
female,36,2nd,26,yes
male,32,3rd,7.8958,no
female,30,1st,93.5,yes
male,22,3rd,7.8958,no
male,35,3rd,7.225,no
female,44,1st,57.9792,yes
male,18,3rd,7.2292,no
male,40.5,3rd,7.75,no
female,50,2nd,10.5,yes
male,49,1st,221.7792,no
male,39,3rd,7.925,no
male,23,2nd,11.5,no
female,2,2nd,26,yes
male,17,3rd,7.2292,no
male,17,3rd,7.2292,no
female,24,3rd,22.3583,yes
female,30,3rd,8.6625,no
female,7,2nd,26.25,yes
male,45,1st,26.55,no
female,30,1st,106.425,yes
male,69,3rd,14.5,no
female,22,1st,49.5,yes
female,36,1st,71,yes
female,9,3rd,31.275,no
female,11,3rd,31.275,no
male,32,2nd,26,yes
male,50,1st,106.425,no
male,64,1st,26,no
female,19,2nd,26,yes
male,27,2nd,13.8625,yes
male,33,3rd,20.525,no
male,8,2nd,36.75,yes
male,17,1st,110.8833,yes
male,27,2nd,26,no
male,21,3rd,7.8292,no
male,22,3rd,7.225,yes
female,22,3rd,7.775,yes
male,62,1st,26.55,no
female,48,1st,39.6,yes
male,45,1st,227.525,no
female,39,1st,79.65,yes
female,36,3rd,17.4,yes
male,30,3rd,7.75,no
male,40,3rd,7.8958,no
male,28,2nd,13.5,no
male,40,3rd,8.05,no
female,62,3rd,8.05,no
male,24,3rd,24.15,no
male,19,3rd,7.8958,no
female,29,3rd,21.075,no
male,28,3rd,7.2292,no
male,32,3rd,7.8542,yes
male,62,2nd,10.5,yes
female,53,1st,51.4792,yes
male,36,1st,26.3875,yes
female,22,3rd,7.75,yes
male,16,3rd,8.05,no
male,19,3rd,14.5,no
female,34,2nd,13,yes
female,39,1st,55.9,yes
female,18,3rd,14.4583,no
male,32,3rd,7.925,yes
female,25,2nd,30,yes
female,39,1st,110.8833,yes
male,54,2nd,26,no
male,36,1st,40.125,no
male,16,3rd,8.7125,no
female,18,1st,79.65,yes
male,47,2nd,15,no
male,60,1st,79.2,yes
male,22,3rd,8.05,no
male,22,3rd,8.05,no
male,35,3rd,7.125,no
female,52,1st,78.2667,yes
male,47,3rd,7.25,no
female,40,3rd,7.75,no
male,37,2nd,26,no
male,36,3rd,24.15,no
female,31,2nd,33,yes
male,49,3rd,0,no
male,18,3rd,7.225,no
male,49,1st,56.9292,yes
female,24,2nd,27,yes
male,42,3rd,7.8958,no
male,37,1st,42.4,no
male,44,3rd,8.05,no
male,35,1st,26.55,yes
male,36,3rd,15.55,no
male,30,3rd,7.8958,no
male,27,1st,30.5,yes
female,22,2nd,41.5792,yes
female,40,1st,153.4625,yes
female,39,3rd,31.275,no
male,21,3rd,7.05,no
female,18,3rd,15.5,yes
male,22,3rd,7.75,no
male,35,3rd,8.05,no
female,24,2nd,65,yes
male,34,3rd,14.4,no
female,26,3rd,16.1,no
female,4,2nd,39,yes
male,26,2nd,10.5,no
male,27,3rd,14.4542,no
male,42,1st,52.5542,yes
male,20,3rd,15.7417,yes
male,21,3rd,7.8542,no
male,21,3rd,16.1,no
male,61,1st,32.3208,no
male,57,2nd,12.35,no
female,21,1st,77.9583,yes
male,26,3rd,7.8958,no
male,18,3rd,7.7333,no
male,80,1st,30,yes
male,51,3rd,7.0542,no
male,32,1st,30.5,yes
male,30,1st,0,no
female,9,3rd,27.9,no
female,28,2nd,13,yes
male,32,3rd,7.925,no
male,31,2nd,26.25,no
female,41,3rd,39.6875,no
male,37,3rd,16.1,no
male,20,3rd,7.8542,no
female,24,1st,69.3,yes
female,2,3rd,27.9,no
male,32,3rd,56.4958,yes
female,0.75,3rd,19.2583,yes
male,48,1st,76.7292,yes
male,19,3rd,7.8958,no
male,56,1st,35.5,yes
male,21,3rd,7.55,no
female,23,3rd,7.55,yes
male,23,3rd,7.8958,no
female,18,2nd,23,yes
male,21,3rd,8.4333,no
female,16,3rd,7.8292,yes
female,18,3rd,6.75,no
male,24,2nd,73.5,no
male,27,3rd,7.8958,no
female,32,3rd,15.5,no
male,23,2nd,13,no
male,58,1st,113.275,no
male,50,1st,133.65,yes
male,40,3rd,7.225,no
male,47,1st,25.5875,no
male,36,3rd,7.4958,no
male,20,3rd,7.925,yes
male,32,2nd,73.5,no
male,25,2nd,13,no
male,49,3rd,7.775,no
male,43,3rd,8.05,no
female,48,1st,52,yes
female,40,2nd,39,yes
male,31,1st,52,no
male,70,2nd,10.5,no
male,31,2nd,13,yes
male,19,2nd,0,no
male,18,3rd,7.775,no
male,24.5,3rd,8.05,no
female,18,3rd,9.8417,yes
female,43,3rd,46.9,no
male,36,1st,512.3292,yes
female,28,3rd,8.1375,no
male,27,1st,76.7292,yes
male,20,3rd,9.225,no
male,14,3rd,46.9,no
male,60,2nd,39,no
male,25,2nd,41.5792,no
male,14,3rd,39.6875,no
male,19,3rd,10.1708,no
male,18,3rd,7.7958,no
female,15,1st,211.3375,yes
male,31,1st,57,yes
female,4,3rd,13.4167,yes
male,37,3rd,56.4958,yes
male,25,3rd,7.225,no
male,60,1st,26.55,no
male,52,2nd,13.5,no
male,44,3rd,8.05,no
female,19,3rd,7.7333,yes
male,49,1st,110.8833,no
male,42,3rd,7.65,no
female,18,1st,227.525,yes
male,35,1st,26.2875,yes
female,18,3rd,14.4542,no
male,25,3rd,7.7417,no
male,26,3rd,7.8542,no
male,39,2nd,26,no
female,45,2nd,13.5,yes
male,42,1st,26.2875,yes
female,22,1st,151.55,yes
male,4,3rd,15.2458,yes
female,24,1st,49.5042,yes
male,41,1st,26.55,no
male,48,1st,52,yes
male,29,3rd,9.4833,no
male,52,2nd,13,no
male,19,3rd,7.65,no
female,38,1st,227.525,yes
female,27,2nd,10.5,yes
male,33,3rd,7.775,no
female,6,2nd,33,yes
male,17,3rd,7.0542,no
male,34,2nd,13,no
male,50,2nd,13,no
male,27,1st,53.1,yes
male,20,3rd,8.6625,no
female,30,2nd,21,yes
female,28,3rd,7.7375,yes
male,25,2nd,26,no
female,25,3rd,7.925,no
female,29,1st,211.3375,yes
male,11,3rd,18.7875,no
male,41,2nd,0,no
male,23,2nd,13,no
male,23,2nd,13,no
male,28.5,3rd,16.1,no
female,48,3rd,34.375,no
male,35,1st,512.3292,yes
male,20,3rd,7.8958,no
male,32,3rd,7.8958,no
male,45,1st,30,yes
male,36,1st,78.85,no
female,21,1st,262.375,yes
male,24,3rd,16.1,no
male,31,3rd,7.925,yes
male,70,1st,71,no
male,16,3rd,20.25,no
female,30,2nd,13,yes
male,19,1st,53.1,no
male,31,3rd,7.75,no
female,4,2nd,23,yes
male,6,3rd,12.475,yes
male,33,3rd,9.5,no
male,23,3rd,7.8958,no
female,48,2nd,65,yes
male,0.67,2nd,14.5,yes
male,28,3rd,7.7958,no
male,18,2nd,11.5,no
male,34,3rd,8.05,no
female,33,1st,86.5,yes
male,23,3rd,14.5,no
male,41,3rd,7.125,no
male,20,3rd,7.2292,yes
female,36,1st,120,yes
male,16,3rd,7.775,no
female,51,1st,77.9583,yes
male,46,1st,39.6,no
female,30.5,3rd,7.75,no
male,28,3rd,24.15,no
male,32,3rd,8.3625,no
male,24,3rd,9.5,no
male,48,3rd,7.8542,no
female,57,2nd,10.5,no
male,29,3rd,7.225,no
female,54,2nd,23,yes
male,18,3rd,7.75,no
male,20,3rd,7.75,no
female,5,3rd,12.475,yes
male,22,3rd,7.7375,no
female,43,1st,211.3375,yes
female,13,3rd,7.2292,yes
female,17,1st,57,yes
male,29,1st,30,no
male,35,3rd,23.45,no
male,25,3rd,7.05,no
male,25,3rd,7.25,no
female,18,3rd,7.4958,yes
male,8,3rd,29.125,no
male,1,3rd,20.575,yes
male,46,1st,79.2,no
male,20,3rd,7.75,no
male,16,2nd,26,no
female,21,3rd,69.55,no
male,43,1st,30.6958,no
male,25,3rd,7.8958,no
male,39,2nd,13,no
female,49,1st,25.9292,yes
female,31,3rd,8.6833,yes
male,30,3rd,7.2292,no
female,30,3rd,24.15,no
male,34,2nd,13,no
female,31,2nd,26.25,yes
male,11,1st,120,yes
male,0.42,3rd,8.5167,yes
male,27,3rd,6.975,yes
male,31,3rd,7.775,no
male,39,1st,0,no
female,18,3rd,7.775,no
male,39,2nd,13,no
female,33,1st,53.1,yes
male,26,3rd,7.8875,no
male,39,3rd,24.15,no
male,35,2nd,10.5,no
female,6,3rd,31.275,no
male,30.5,3rd,8.05,no
male,39,1st,0,no
female,23,3rd,7.925,no
male,31,2nd,37.0042,no
male,43,3rd,6.45,no
male,10,3rd,27.9,no
female,52,1st,93.5,yes
male,27,3rd,8.6625,yes
male,38,1st,0,no
female,27,3rd,12.475,yes
male,2,3rd,39.6875,no
male,36,3rd,6.95,no
male,23,3rd,56.4958,no
male,1,2nd,37.0042,yes
male,19,3rd,7.75,yes
female,62,1st,80,yes
female,15,3rd,14.4542,yes
male,0.83,2nd,18.75,yes
male,30,3rd,7.2292,no
male,23,3rd,7.8542,no
male,18,3rd,8.3,no
female,39,1st,83.1583,yes
male,21,3rd,8.6625,no
male,20,3rd,8.05,no
male,32,3rd,56.4958,yes
male,29,1st,29.7,yes
male,20,3rd,7.925,no
male,16,2nd,10.5,no
female,30,1st,31,yes
male,34.5,3rd,6.4375,no
male,17,3rd,8.6625,no
male,42,3rd,7.55,no
male,18,3rd,69.55,no
male,35,3rd,7.8958,no
male,28,2nd,33,no
female,40,1st,89.1042,yes
male,4,3rd,31.275,no
male,74,3rd,7.775,no
female,9,3rd,15.2458,no
female,16,1st,39.4,yes
female,44,2nd,26,no
female,18,3rd,9.35,yes
female,45,1st,164.8667,yes
male,51,1st,26.55,yes
female,24,3rd,19.2583,yes
male,30,3rd,7.2292,no
male,41,3rd,14.1083,no
male,21,2nd,11.5,no
female,48,1st,25.9292,yes
female,14,3rd,69.55,no
male,24,2nd,13,no
female,42,2nd,13,yes
female,27,2nd,13.8583,yes
male,31,1st,50.4958,no
male,23,3rd,9.5,no
male,4,3rd,11.1333,yes
male,26,3rd,7.8958,no
female,47,1st,52.5542,yes
male,33,1st,5,no
male,47,3rd,9,no
female,28,2nd,24,yes
female,15,3rd,7.225,yes
male,20,3rd,9.8458,no
male,19,3rd,7.8958,no
male,23,3rd,7.8958,no
female,56,1st,83.1583,yes
female,25,2nd,26,yes
male,33,3rd,7.8958,no
female,22,3rd,10.5167,no
male,28,2nd,10.5,no
male,25,3rd,7.05,no
female,39,3rd,29.125,no
male,27,2nd,13,no
female,19,1st,30,yes
female,7,3rd,23.45,no
male,26,1st,30,yes
male,32,3rd,7.75,no
